"lng","lat"
112.7905554,-7.2820539
-118.1358672,34.0767321
106.8027994,-6.562724
-41.79388081,-22.40169814
119.50884,-5.13483
103.7171791,1.5502688
-43.35457557,-22.81554488
-43.9962962,-19.9496452
98.64043,3.6067
106.83202073,-6.18702133
-89.09165894,41.33707013
107.778,-6.93983
119.546775,-5.0763257
-79.03332091,43.13374031
106.99838,-6.24116
106.9073191,-6.2019804
-43.96934025,-19.95270438
-81.78228373,32.41025252
-77.85713343,40.79080981
-119.8176552,39.53781701
-46.6335971,-23.4701743
-95.60212067,36.31095955
-43.28512841,-22.88961955
-43.2260606,-22.91908
104.9739501,-5.3652853
-51.36993751,-29.37594858
-45.0672667,-22.1203394
101.60489288,3.07890324
-43.12539419,-22.9052213
-46.5353105,-23.5741721
-54.74327,49.6599
-41.79387082,-22.40179672
-89.76494906,35.0959153
-82.13666851,34.92883858
107.6063123,-6.8856603
-43.96934933,-19.9528154
-4.23451031,55.80748742
100.2547934,6.5343275
-43.18100599,-22.92289645
106.6547866,-6.1299177
110.37254,-7.78021
-88.77479473,41.94364383
-82.31166294,38.4186264
-117.44588818,34.09180464
-59.99664668,-3.09275682
-63.67147468,44.83967463
106.8488993,-6.392354
-70.70516379,19.42173501
-43.20621128,-22.98083257
-87.2496473,30.3997922
120.00938,-4.21505
-43.96908282,-19.95231133
-86.36032878,35.87134659
113.92934,-2.20979
-47.88665089,-15.80944664
-92.97934087,43.65733143
107.02803,-6.22696
124.84511,1.46
-45.2291877,-18.2031436
-87.81090975,42.81983254
-54.04893902,48.67314724
-43.33121111,-22.84714637
100.4697818,5.6347745
-122.0757233,37.6808908
-43.3290314,-22.8897335
106.8526301,-6.2433168
119.43107,-5.15123
-43.8571758,-20.5061894
-43.3290314,-22.8897335
-43.18098925,-22.92290164
124.83923,1.48596
-43.3290314,-22.8897335
-46.4393021,-23.6532956
-84.77926394,34.19494803
-43.407101,-22.8462836
101.4696361,3.2852541
-43.42346937,-22.80392856
-43.09190504,-22.91709184
119.43846,-5.16885
-79.83053955,40.49075038
-45.0672666,-22.1203393
9.22152406,45.44172442
-42.81370818,-5.08346007
153.4146286,-27.9930022
-44.2047615,-22.5454891
-43.3290331,-22.8897379
112.71951381,-7.27195187
-43.3290074,-22.8897574
-44.2047615,-22.5454891
-43.94285731,-19.94628983
-43.3290074,-22.8897574
-43.18546238,-22.95006386
-43.4070753,-22.8462737
104.45040534,0.92913807
-78.4902672,43.20854506
-92.3328352,38.94330564
-44.1010596,-22.4977422
-43.3241992,-22.8877293
-43.35761946,-21.78031878
-43.1886145,-22.95547078
-43.91271708,-19.8994127
119.44372,-5.13826
-42.6429677,-19.556609
-44.2047609,-22.5454905
-49.91271965,-6.06249201
-94.7053837,38.97029359
-44.1010995,-22.4975571
-45.5425682,-23.0263825
-46.55500898,-23.63045855
-43.9696221,-19.9372783
-44.0783717,-22.5078389
110.3879395,-7.7769675
-43.3655793,-22.80029306
-46.6387845,-23.6202457
-35.2038401,-5.81714117
-34.9442926,-8.0609379
-44.1010995,-22.4975571
-43.930847,-19.8766214
-43.3321727,-21.7648427
-43.58677069,-22.88957578
