"lat","lng"
40.77939083,30.39368635
45.04147738,7.35109806
-7.79854,110.36722
7.062425,125.600832
14.46052819,120.98189615
35.65999324,139.69988882
35.64824269,139.70997004
50.83769804,0.47162795
14.46283811,120.96917132
41.91161477,-87.69662275
33.92704274,-118.393307
30.54305313,-97.84633158
30.54305313,-97.84633158
40.8310201,-75.0744766
41.02474622,28.97441509
-29.21198397,-51.34753701
26.13437245,50.56882142
30.58418109,-97.85761714
26.13437245,50.56882142
-23.55745407,-46.31713721
41.0791687,-73.85346844
21.32683333,-157.69216667
33.84904405,-118.14042304
-33.34983333,-70.29416667
40.8433594,-73.8569212
7.07188087,125.61501586
58.99785477,10.03372648
21.28629534,-157.67127514
1.29093262,103.84068344
-23.97113653,-46.35007381
1.29093262,103.84068344
38.40222675,27.16128938
33.61063221,-112.22033948
39.75446477,19.64471282
29.35467011,47.98093716
32.35554553,-64.66031573
40.60382539,-74.42325071
-39.81185739,-73.2473731
43.51633422,5.31370424
41.89633333,-8.87683333
41.00535028,28.9768374
28.9584847,-95.9660186
36.19949523,-115.26266975
38.7011658,35.53766701
38.7011658,35.53766701
51.48655315,-0.29625049
38.73551029,16.16128409
51.50719323,-0.1275444
51.4876602,-0.29416303
11.008745,-74.825534
4.69560195,-74.02890199
30.54305313,-97.84633158
14.61812453,121.06020135
4.69491694,-74.0305143
34.83007982,-82.30403423
32.34451015,-111.01839108
31.93230584,35.34102948
39.72307502,30.66755157
53.43145992,-1.26103998
41.03537653,28.99441937
40.58043799,-73.82559299
43.36136228,-5.84453432
52.59928118,-2.11714531
43.361348,-5.844472
40.58400693,-73.82424116
24.90898861,67.07958681
3.15744207,101.7121768
45.42945049,35.82328672
45.42945049,35.82328672
45.42743258,35.81730108
45.42743258,35.81730108
45.42743258,35.81730108
45.42743258,35.81730108
51.81054066,4.89130982
45.42743258,35.81730108
13.72020374,100.56818425
45.42743258,35.81730108
52.6620874,-8.6280466
45.42743258,35.81730108
41.08309937,29.00056964
12.83575817,99.99667748
30.31276459,-97.77132511
40.91983333,29.14383333
40.60837737,-73.81592631
45.20041656,5.83468962
39.76076018,-4.70732171
48.60116094,-2.82659814
-38.184624,144.321504
25.28985131,51.54780445
19.4508517,-70.69461823
50.51237586,30.49851894
39.72307502,30.66755157
53.30587188,-1.47635121
55.80321958,37.58318381
55.80321958,37.58318381
53.30658445,-1.4707026
53.30658445,-1.4707026
53.30587188,-1.47635121
53.30658445,-1.4707026
39.99988698,-82.99094267
53.30658445,-1.4707026
53.30658445,-1.4707026
53.30658445,-1.4707026
53.30658445,-1.4707026
43.36300414,-5.85370129
53.30658445,-1.4707026
-24.112552,-49.328581
43.36300414,-5.85370129
53.30658445,-1.4707026
53.30658445,-1.4707026
53.32712736,-2.24207984
14.52313206,121.00065186
53.30658445,-1.4707026
53.30658445,-1.4707026
53.32712736,-2.24207984
53.32712736,-2.24207984
-24.112552,-49.328581
53.30587188,-1.47635121
3.81784959,103.32612634
-23.63245466,-46.72150612
41.09964555,-80.67567847
22.31797222,114.17082778
37.03575554,27.42899895
43.361339,-5.844517
43.361348,-5.844472
43.361339,-5.844517
43.361348,-5.844472
43.361389,-5.844409
1.28430577,103.8608408
52.131724,11.6385235
-1.25771786,116.84394202
1.28416667,103.86083333
38.45257325,27.10882639
48.92562489,2.37868153
34.07732145,134.57651108
40.41663279,-3.70355129
20.09694539,-98.7779231
37.77721806,29.08358547
-8.67389991,115.15744686
-6.89033791,109.67699997
36.85674181,30.89198712
13.04314228,77.56641135
29.48306156,-98.57856818
51.41599149,-1.72740664
52.24906381,0.71833798
37.5195798,127.0233901
43.390267,-5.802133
14.56424532,120.99506774
37.51952947,127.12254524
53.91713299,-1.14268303
1.28618287,103.85017207
-6.23975119,106.62896633
14.52185727,121.01762295
35.71548604,139.85973089
3.06907685,101.58733997
2.99044167,101.44883752
3.10735265,101.71581727
35.527798,139.697224
41.80944731,12.55781857
35.63692106,139.69315323
25.31784338,51.43652916
51.53077313,-0.12338161
32.76540658,-97.49176903
39.94736054,116.47091617
39.9473527,116.4700461
39.9473527,116.4700461
39.9473527,116.4700461
39.9473527,116.4700461
34.18934852,-118.42601728
15.22617757,120.57971277
35.71548464,139.85973286
16.97966554,96.14800997
3.12893637,101.6702995
39.73813334,-75.60596687
35.63694663,139.69306991
35.62714588,139.73795593
-0.28482252,-78.53392898
14.61167,121.0212
33.37258511,-86.80324263
3.08961329,101.50775735
-6.88776,107.59594
41.5796268,25.13358859
40.30945822,-75.12957107
35.71547681,139.85973852
4.9944164,100.65999985
48.88840135,2.39933125
35.97353036,139.5884496
29.89107675,-95.58432419
35.63694173,139.69308479
40.75099148,-73.98887973
40.75099148,-73.98887973
30.31276459,-97.77132511
41.72679628,-71.49250538
37.35676649,27.28430243
33.96842759,-118.45719738
17.63610074,121.7219049
55.71028613,37.54399538
10.31487767,123.9004004
29.29425563,48.01163913
19.42558821,-99.06839463
39.84465276,-75.36777335
14.46052819,120.98189615
38.64349637,0.07265335
-20.33451419,-40.29992544
53.00982586,-2.17975616
53.00982586,-2.17975616
35.71370129,139.77629809
40.73228891,-74.01051196
-0.10416667,-78.49766667
35.58247285,-78.7622127
-0.10416667,-78.49766667
29.8280086,-95.37690446
14.5063619,120.99472047
48.21727298,16.38321624
-26.22418049,-48.80163849
41.02634115,28.97414446
3.04705417,101.58736557
21.4219904,39.82539654
-34.59558395,-58.36924737
42.65083333,-5.21466667
44.10629214,-93.19018564
29.8280086,-95.37690446
-23.77782675,-45.35842379
-24.32350108,-46.99669364
29.8280086,-95.37690446
-23.63906422,-46.62645833
-23.50128349,-46.69845406
-13.00333958,-38.53188068
48.86393839,2.28573561
-23.55326957,-46.65875895
-23.55577386,-46.69008043
-23.50486414,-46.83402771
-23.55069061,-46.63314343
-12.65118375,-38.06994438
41.41407258,2.15237617
-23.63245466,-46.72150612
-23.63245466,-46.72150612
-23.63245466,-46.72150612
-23.63245466,-46.72150612
-23.63245466,-46.72150612
-23.63245466,-46.72150612
-6.88968625,107.59632334
37.4075654,-5.9370654
44.14369849,-115.30963582
41.00726912,28.97807121
49.04435231,-118.2135129
38.28725481,26.38086089
33.992044,-118.448875
43.62296664,-79.37810898
-24.11390893,-49.33671784
41.842402,-8.406573
46.5652573,30.88050004
41.15151735,-81.3625606
51.41596253,-1.72738319
37.38361587,-5.95228618
40.75648987,-73.98626804
42.30328924,-83.23380858
41.05553066,37.4726287
51.32611755,-2.83472796
45.81077724,15.78865457
39.56702529,26.85278325
10.29795698,123.98299059
10.32250815,123.89809325
14.65501496,121.01998462
-16.65114493,-49.29125036
10.67503656,-71.61116779
25.40052487,55.4687332
32.59477638,-110.72454179
-6.23615566,106.72677652
42.47651568,-83.15875745
42.47922504,-83.16130147
56.95463767,24.12055032
35.01105,137.0455
35.01105,137.0455
49.37266667,28.51033333
14.5063619,120.99472047
-3.34737417,114.62218659
14.45207441,120.97707023
30.09448996,31.62824443
14.56144785,120.99446842
-1.42869575,-48.46380027
30.31276459,-97.77132511
18.2356789,120.6056381
-6.22398561,106.7990479
-15.83537027,-48.01853744
4.35232235,100.96215897
-18.487322,-70.305944
53.48080266,-2.23507034
60.19014455,24.91753123
44.96303,6.51409
59.124198,37.961664
42.30965942,-71.37714031
-34.95867013,138.60300988
